id,password,role,isActive
I770144,password123,Employee,true
MGR001,manager123,Manager,true
MGR002,manager123,Manager,true
MGR003,manager123,Manager,true
MGR006,manager123,Manager,true
MGR007,manager123,Manager,true
MGR008,manager123,Manager,true
MGR009,manager123,Manager,true
MGR010,manager123,Manager,true
MGR011,manager123,Manager,true
MGR012,manager123,Manager,true
MGR013,manager123,Manager,true
MGR014,manager123,Manager,true
MGR015,manager123,Manager,true
MGR016,manager123,Manager,true
I770151,password123,Employee,true
I770152,password123,Employee,true
I770153,password123,Employee,true
I770164,password123,Employee,true
I770165,password123,Employee,true
I770166,password123,Employee,true
I770167,password123,Employee,true
I770168,password123,Employee,true
I750145,password123,Employee,true
I346659,password123,Employee,true
I769086,password123,Employee,true
I763161,password123,Employee,true
I755736,password123,Employee,true
I749085,password123,Employee,true
I753890,password123,Employee,true
I755719,password123,Employee,true
I763266,password123,Employee,true
I773926,password123,Employee,true
I774156,password123,Employee,true
I780001,password123,Employee,true
I780002,password123,Employee,true
I780003,password123,Employee,true
I780004,password123,Employee,true
I780005,password123,Employee,true
I780006,password123,Employee,true
I780007,password123,Employee,true
I780008,password123,Employee,true
I780009,password123,Employee,true
I780010,password123,Employee,true
I780011,password123,Employee,true
I780012,password123,Employee,true
I780013,password123,Employee,true
I780014,password123,Employee,true
I780015,password123,Employee,true
I780016,password123,Employee,true
I780017,password123,Employee,true
I780018,password123,Employee,true
I780019,password123,Employee,true
I780020,password123,Employee,true
I780021,password123,Employee,true
I780022,password123,Employee,true
I780023,password123,Employee,true
I780024,password123,Employee,true
I780025,password123,Employee,true
I780026,password123,Employee,true
I780027,password123,Employee,true
I780028,password123,Employee,true
I780029,password123,Employee,true
I780030,password123,Employee,true
I780031,password123,Employee,true
I780032,password123,Employee,true
I780033,password123,Employee,true
I780034,password123,Employee,true
I780035,password123,Employee,true
I780036,password123,Employee,true
I780037,password123,Employee,true
I780038,password123,Employee,true
I780039,password123,Employee,true
I780040,password123,Employee,true
I780041,password123,Employee,true
I780042,password123,Employee,true
I780043,password123,Employee,true
I780044,password123,Employee,true
I780045,password123,Employee,true
I780046,password123,Employee,true
I780047,password123,Employee,true
I780048,password123,Employee,true
I780049,password123,Employee,true
I780050,password123,Employee,true
I780051,password123,Employee,true
I780052,password123,Employee,true
I780053,password123,Employee,true
I780054,password123,Employee,true
I780055,password123,Employee,true
I780056,password123,Employee,true
I780057,password123,Employee,true
I780058,password123,Employee,true
I780059,password123,Employee,true
I780060,password123,Employee,true
I780061,password123,Employee,true
I780062,password123,Employee,true
I780063,password123,Employee,true
I780064,password123,Employee,true
I780065,password123,Employee,true
I780066,password123,Employee,true
I780067,password123,Employee,true
I780068,password123,Employee,true
I780069,password123,Employee,true
I780070,password123,Employee,true
I780071,password123,Employee,true
I780072,password123,Employee,true
I780073,password123,Employee,true
I780074,password123,Employee,true
I780075,password123,Employee,true
I780076,password123,Employee,true
I780077,password123,Employee,true
I780078,password123,Employee,true
I780079,password123,Employee,true
I780080,password123,Employee,true
I780081,password123,Employee,true
I780082,password123,Employee,true
I780083,password123,Employee,true
I780084,password123,Employee,true
I780085,password123,Employee,true
I780086,password123,Employee,true
I780087,password123,Employee,true
I780088,password123,Employee,true
I780089,password123,Employee,true
I780090,password123,Employee,true
I780091,password123,Employee,true
I780092,password123,Employee,true
I780093,password123,Employee,true
I780094,password123,Employee,true
I780095,password123,Employee,true
I780096,password123,Employee,true
I780097,password123,Employee,true
I780098,password123,Employee,true
I780099,password123,Employee,true
I780100,password123,Employee,true
I780101,password123,Employee,true
I780102,password123,Employee,true
I780103,password123,Employee,true
I780104,password123,Employee,true
I780105,password123,Employee,true
I780106,password123,Employee,true
I780107,password123,Employee,true
I780108,password123,Employee,true
I780109,password123,Employee,true
I780110,password123,Employee,true
I780111,password123,Employee,true
I780112,password123,Employee,true
I780113,password123,Employee,true
I780114,password123,Employee,true
I780115,password123,Employee,true
I780116,password123,Employee,true
I780117,password123,Employee,true
I780118,password123,Employee,true
I780119,password123,Employee,true
I780120,password123,Employee,true
I780121,password123,Employee,true
I780122,password123,Employee,true
I780123,password123,Employee,true
I780124,password123,Employee,true
I780125,password123,Employee,true
I780126,password123,Employee,true
I780127,password123,Employee,true
I780128,password123,Employee,true
I780129,password123,Employee,true
I780130,password123,Employee,true
I780131,password123,Employee,true
I780132,password123,Employee,true
I780133,password123,Employee,true
I780134,password123,Employee,true
I780135,password123,Employee,true
I780136,password123,Employee,true
I780137,password123,Employee,true
I780138,password123,Employee,true
I780139,password123,Employee,true
I780140,password123,Employee,true
I780141,password123,Employee,true
I780142,password123,Employee,true
SMGR01,manager123,SeniorManager,true
